site_number,kwh,bill_start_date,bill_end_date,retrofit_start_date,retrofit_end_date
"1",1195,1/17/09,2/17/09,"8/2/11","10/25/11"
"1",855,2/18/09,3/18/09,"8/2/11","10/25/11"
"1",829,3/19/09,4/19/09,"8/2/11","10/25/11"
"1",1079,4/20/09,5/18/09,"8/2/11","10/25/11"
"1",1027,5/19/09,6/16/09,"8/2/11","10/25/11"
"1",1866,6/17/09,7/19/09,"8/2/11","10/25/11"
"1",1811,7/20/09,8/17/09,"8/2/11","10/25/11"
"1",1713,8/18/09,9/16/09,"8/2/11","10/25/11"
"1",1151,9/17/09,10/15/09,"8/2/11","10/25/11"
"1",949,10/16/09,11/16/09,"8/2/11","10/25/11"
"1",1152,11/17/09,12/16/09,"8/2/11","10/25/11"
"1",1194,12/17/09,1/18/10,"8/2/11","10/25/11"
"1",892,1/19/10,2/17/10,"8/2/11","10/25/11"
"1",901,2/18/10,3/21/10,"8/2/11","10/25/11"
"1",843,3/22/10,4/19/10,"8/2/11","10/25/11"
"1",778,4/20/10,5/18/10,"8/2/11","10/25/11"
"1",1199,5/19/10,6/17/10,"8/2/11","10/25/11"
"1",2129,6/18/10,7/19/10,"8/2/11","10/25/11"
"1",1645,7/20/10,8/18/10,"8/2/11","10/25/11"
"1",1681,8/19/10,9/19/10,"8/2/11","10/25/11"
"1",1296,9/20/10,10/18/10,"8/2/11","10/25/11"
"1",976,10/19/10,11/17/10,"8/2/11","10/25/11"
"1",1264,11/18/10,12/19/10,"8/2/11","10/25/11"
"1",1145,12/20/10,1/18/11,"8/2/11","10/25/11"
"1",934,1/19/11,2/16/11,"8/2/11","10/25/11"
"1",1086,2/17/11,3/20/11,"8/2/11","10/25/11"
"1",940,3/21/11,4/19/11,"8/2/11","10/25/11"
"1",907,4/20/11,5/18/11,"8/2/11","10/25/11"
"1",1250,5/19/11,6/19/11,"8/2/11","10/25/11"
"1",1842,6/20/11,7/19/11,"8/2/11","10/25/11"
"1",1978,7/20/11,8/17/11,"8/2/11","10/25/11"
"1",2064,8/18/11,9/18/11,"8/2/11","10/25/11"
"1",1134,9/19/11,10/17/11,"8/2/11","10/25/11"
"1",953,10/18/11,11/16/11,"8/2/11","10/25/11"
"1",1157,11/17/11,12/15/11,"8/2/11","10/25/11"
"1",1346,12/16/11,1/17/12,"8/2/11","10/25/11"
"1",930,1/18/12,2/15/12,"8/2/11","10/25/11"
"1",963,2/16/12,3/18/12,"8/2/11","10/25/11"
