site_number,therms,bill_start_date,bill_end_date,retrofit_start_date,retrofit_end_date
"1",152,1/17/09,2/17/09,"8/2/11","10/25/11"
"1",84,2/18/09,3/18/09,"8/2/11","10/25/11"
"1",57,3/19/09,4/19/09,"8/2/11","10/25/11"
"1",34,4/20/09,5/18/09,"8/2/11","10/25/11"
"1",31,5/19/09,6/16/09,"8/2/11","10/25/11"
"1",21,6/17/09,7/19/09,"8/2/11","10/25/11"
"1",23,7/20/09,8/17/09,"8/2/11","10/25/11"
"1",28,8/18/09,9/16/09,"8/2/11","10/25/11"
"1",27,9/17/09,10/15/09,"8/2/11","10/25/11"
"1",60,10/16/09,11/16/09,"8/2/11","10/25/11"
"1",171,11/17/09,12/16/09,"8/2/11","10/25/11"
"1",172,12/17/09,1/18/10,"8/2/11","10/25/11"
"1",109,1/19/10,2/17/10,"8/2/11","10/25/11"
"1",108,2/18/10,3/21/10,"8/2/11","10/25/11"
"1",85,3/22/10,4/19/10,"8/2/11","10/25/11"
"1",51,4/20/10,5/18/10,"8/2/11","10/25/11"
"1",40,5/19/10,6/17/10,"8/2/11","10/25/11"
"1",29,6/18/10,7/19/10,"8/2/11","10/25/11"
"1",27,7/20/10,8/18/10,"8/2/11","10/25/11"
"1",37,8/19/10,9/19/10,"8/2/11","10/25/11"
"1",33,9/20/10,10/18/10,"8/2/11","10/25/11"
"1",62,10/19/10,11/17/10,"8/2/11","10/25/11"
"1",154,11/18/10,12/19/10,"8/2/11","10/25/11"
"1",154,12/20/10,1/18/11,"8/2/11","10/25/11"
"1",120,1/19/11,2/16/11,"8/2/11","10/25/11"
"1",137,2/17/11,3/20/11,"8/2/11","10/25/11"
"1",83,3/21/11,4/19/11,"8/2/11","10/25/11"
"1",54,4/20/11,5/18/11,"8/2/11","10/25/11"
"1",51,5/19/11,6/19/11,"8/2/11","10/25/11"
"1",33,6/20/11,7/19/11,"8/2/11","10/25/11"
"1",29,7/20/11,8/17/11,"8/2/11","10/25/11"
"1",31,8/18/11,9/18/11,"8/2/11","10/25/11"
"1",30,9/19/11,10/17/11,"8/2/11","10/25/11"
"1",57,10/18/11,11/16/11,"8/2/11","10/25/11"
"1",113,11/17/11,12/15/11,"8/2/11","10/25/11"
"1",146,12/16/11,1/17/12,"8/2/11","10/25/11"
"1",110,1/18/12,2/15/12,"8/2/11","10/25/11"
"1",116,2/16/12,3/18/12,"8/2/11","10/25/11"
"1",78,3/19/12,4/16/12,"8/2/11","10/25/11"
"1",41,4/17/12,5/16/12,"8/2/11","10/25/11"
"1",40,5/17/12,6/17/12,"8/2/11","10/25/11"
"1",30,6/18/12,7/17/12,"8/2/11","10/25/11"
"1",25,7/18/12,8/15/12,"8/2/11","10/25/11"
"1",30,8/16/12,9/16/12,"8/2/11","10/25/11"
"1",24,9/17/12,10/15/12,"8/2/11","10/25/11"
"1",58,10/16/12,11/14/12,"8/2/11","10/25/11"
"1",134,11/15/12,12/16/12,"8/2/11","10/25/11"
"1",182,12/17/12,1/15/13,"8/2/11","10/25/11"
"1",103,1/16/13,2/14/13,"8/2/11","10/25/11"
"1",86,2/15/13,3/18/13,"8/2/11","10/25/11"
"1",56,3/19/13,4/17/13,"8/2/11","10/25/11"
"2",159,1/16/10,2/12/10,"6/15/11","9/10/11"
"2",106,2/13/10,3/15/10,"6/15/11","9/10/11"
"2",74,3/16/10,4/16/10,"6/15/11","9/10/11"
