station_id,tref,lthdd,ltcdd
"ALTURAS_725958",55,11.33196,4.052019
"ALTURAS_725958",56,11.98357,3.704312
"ALTURAS_725958",57,12.64339,3.367557
"ALTURAS_725958",58,13.32238,3.047228
"ALTURAS_725958",59,14.00958,2.735113
"ALTURAS_725958",60,14.70226,2.428474
"ALTURAS_725958",61,15.40589,2.132786
"ALTURAS_725958",62,16.1232,1.850787
"ALTURAS_725958",63,16.8679,1.593429
"ALTURAS_725958",64,17.62628,1.352498
"ALTURAS_725958",65,18.39836,1.125257
"ALTURAS_725958",66,19.1896,.91718
"ALTURAS_725958",67,20.00274,.733744
"ALTURAS_725958",68,20.84052,.5722108
"ALTURAS_725958",69,21.71116,.4435318
"ALTURAS_725958",70,22.60643,.3394935
"ALTURAS_725958",71,23.52361,.257358
"ALTURAS_725958",72,24.46544,.1971253
"ALTURAS_725958",73,25.41547,.1505818
"ALTURAS_725958",74,26.37372,.109514
"ALTURAS_725958",75,27.34292,.0766598
"ARCATA_725945",55,4.39425,.4572211
"ARCATA_725945",56,5.212868,.2792608
"ARCATA_725945",57,6.099932,.164271
"ARCATA_725945",58,7.033539,.1013005
"ARCATA_725945",59,7.989048,.054757
"ARCATA_725945",60,8.958248,.0246407
"ARCATA_725945",61,9.943874,.0109514
"ARCATA_725945",62,10.93498,.0027379
"ARCATA_725945",63,11.93155,0
"ARCATA_725945",64,12.93087,0
"ARCATA_725945",65,13.93018,0
"ARCATA_725945",66,14.9295,0
"ARCATA_725945",67,15.92882,0
"ARCATA_725945",68,16.92813,0
"ARCATA_725945",69,17.92745,0
"ARCATA_725945",70,18.92676,0
"ARCATA_725945",71,19.92608,0
"ARCATA_725945",72,20.92539,0
"ARCATA_725945",73,21.92471,0
"ARCATA_725945",74,22.92402,0
"ARCATA_725945",75,23.92334,0
"BAKERSFIELD_723840",55,2.045175,12.36413
"BAKERSFIELD_723840",56,2.395619,11.718
"BAKERSFIELD_723840",57,2.767967,11.09103
"BAKERSFIELD_723840",58,3.164956,10.48871
"BAKERSFIELD_723840",59,3.581109,9.905544
"BAKERSFIELD_723840",60,4.019165,9.344285
"BAKERSFIELD_723840",61,4.479124,8.804928
"BAKERSFIELD_723840",62,4.966461,8.29295
"BAKERSFIELD_723840",63,5.470226,7.797399
"BAKERSFIELD_723840",64,5.990417,7.318275
"BAKERSFIELD_723840",65,6.527036,6.855578
"BAKERSFIELD_723840",66,7.074606,6.403833
"BAKERSFIELD_723840",67,7.63039,5.960301
"BAKERSFIELD_723840",68,8.188911,5.519507
"BAKERSFIELD_723840",69,8.763861,5.09514
"BAKERSFIELD_723840",70,9.352498,4.684463
"BAKERSFIELD_723840",71,9.963039,4.295688
"BAKERSFIELD_723840",72,10.59274,3.92334
"BAKERSFIELD_723840",73,11.23066,3.564682
"BAKERSFIELD_723840",74,11.87953,3.214237
"BAKERSFIELD_723840",75,12.53662,2.872005
"BISHOP_724800",55,6.151951,8.974675
"BISHOP_724800",56,6.642026,8.465435
"BISHOP_724800",57,7.154004,7.980835
"BISHOP_724800",58,7.701574,7.526352
"BISHOP_724800",59,8.262834,7.088295
"BISHOP_724800",60,8.835045,6.661191
"BISHOP_724800",61,9.423682,6.250514
"BISHOP_724800",62,10.0178,5.848049
"BISHOP_724800",63,10.62012,5.448323
"BISHOP_724800",64,11.22793,5.059548
"BISHOP_724800",65,11.85216,4.681725
"BISHOP_724800",66,12.48186,4.314853
"BISHOP_724800",67,13.12252,3.953457
"BISHOP_724800",68,13.76591,3.600274
"BISHOP_724800",69,14.423,3.258042
"BISHOP_724800",70,15.0883,2.924025
"BISHOP_724800",71,15.76728,2.600958
"BISHOP_724800",72,16.4627,2.297057
"BISHOP_724800",73,17.17454,2.01232
"BISHOP_724800",74,17.90007,1.735797
"BISHOP_724800",75,18.63655,1.475702
"BLUE-CANYON_725845",55,8.468172,4.977413
"BLUE-CANYON_725845",56,9.05681,4.563997
"BLUE-CANYON_725845",57,9.6564,4.167009
"BLUE-CANYON_725845",58,10.27789,3.789186
"BLUE-CANYON_725845",59,10.92129,3.430527
"BLUE-CANYON_725845",60,11.58385,3.096509
"BLUE-CANYON_725845",61,12.26283,2.773443
"BLUE-CANYON_725845",62,12.9473,2.461328
"BLUE-CANYON_725845",63,13.65092,2.16564
"BLUE-CANYON_725845",64,14.36824,1.883641
"BLUE-CANYON_725845",65,15.09377,1.609856
"BLUE-CANYON_725845",66,15.83847,1.352498
"BLUE-CANYON_725845",67,16.59959,1.117043
"BLUE-CANYON_725845",68,17.38261,.9007529
"BLUE-CANYON_725845",69,18.19302,.7118412
"BLUE-CANYON_725845",70,19.02806,.5475702
"BLUE-CANYON_725845",71,19.89322,.4134155
"BLUE-CANYON_725845",72,20.77755,.2956879
"BLUE-CANYON_725845",73,21.68925,.2108145
"BLUE-CANYON_725845",74,22.6256,.1478439
"BLUE-CANYON_725845",75,23.58385,.1067762
"BLYTHE-RIVERSIDE-CO_747188",55,.4709103,20.17249
"BLYTHE-RIVERSIDE-CO_747188",56,.605065,19.30732
"BLYTHE-RIVERSIDE-CO_747188",57,.7583846,18.46133
"BLYTHE-RIVERSIDE-CO_747188",58,.9336071,17.63724
"BLYTHE-RIVERSIDE-CO_747188",59,1.144422,16.84873
"BLYTHE-RIVERSIDE-CO_747188",60,1.385352,16.09035
"BLYTHE-RIVERSIDE-CO_747188",61,1.653662,15.36208
"BLYTHE-RIVERSIDE-CO_747188",62,1.946612,14.65298
"BLYTHE-RIVERSIDE-CO_747188",63,2.264203,13.97125
"BLYTHE-RIVERSIDE-CO_747188",64,2.603696,13.31143
"BLYTHE-RIVERSIDE-CO_747188",65,2.96783,12.67899
"BLYTHE-RIVERSIDE-CO_747188",66,3.356605,12.06571
"BLYTHE-RIVERSIDE-CO_747188",67,3.759069,11.46886
"BLYTHE-RIVERSIDE-CO_747188",68,4.172484,10.88296
"BLYTHE-RIVERSIDE-CO_747188",69,4.596851,10.30801
"BLYTHE-RIVERSIDE-CO_747188",70,5.034908,9.746749
"BLYTHE-RIVERSIDE-CO_747188",71,5.483915,9.196441
