account_number,date,kwh,iou,datenum
"4GY9LD","12/30/08",,"PGE",17896
"4GY9LD","1/29/09",344,"PGE",17926
"4GY9LD","3/2/09",457,"PGE",17958
"4GY9LD","4/1/09",426,"PGE",17988
"4GY9LD","4/30/09",378,"PGE",18017
"4GY9LD","6/1/09",428,"PGE",18049
"4GY9LD","6/30/09",380,"PGE",18078
"4GY9LD","7/30/09",364,"PGE",18108
"4GY9LD","8/31/09",438,"PGE",18140
"4GY9LD","9/29/09",381,"PGE",18169
"4GY9LD","10/29/09",333,"PGE",18199
"4GY9LD","12/1/09",507,"PGE",18232
"4GY9LD","12/30/09",492,"PGE",18261
"4GY9LD","1/31/10",554,"PGE",18293
"4GY9LD","3/2/10",453,"PGE",18323
"4GY9LD","4/1/10",401,"PGE",18353
"4GY9LD","5/2/10",496,"PGE",18384
"4GY9LD","6/1/10",429,"PGE",18414
"4GY9LD","6/30/10",396,"PGE",18443
"4GY9LD","8/1/10",439,"PGE",18475
"4GY9LD","8/31/10",375,"PGE",18505
"4GY9LD","9/30/10",356,"PGE",18535
"4GY9LD","10/31/10",426,"PGE",18566
"4GY9LD","12/1/10",428,"PGE",18597
"4GY9LD","12/30/10",418,"PGE",18626
"4GY9LD","1/31/11",490,"PGE",18658
"4GY9LD","3/2/11",446,"PGE",18688
"4GY9LD","3/31/11",406,"PGE",18717
"4GY9LD","5/2/11",462,"PGE",18749
"4GY9LD","6/1/11",429,"PGE",18779
"4GY9LD","6/30/11",463,"PGE",18808
"4GY9LD","8/1/11",457,"PGE",18840
"4GY9LD","8/30/11",439,"PGE",18869
"4GY9LD","9/29/11",347,"PGE",18899
"4GY9LD","10/30/11",470,"PGE",18930
"4GY9LD","11/30/11",492,"PGE",18961
"4GY9LD","12/29/11",511,"PGE",18990
"4GY9LD","1/30/12",545,"PGE",19022
"4GY9LD","2/29/12",463,"PGE",19052
"4GY9LD","3/29/12",451,"PGE",19081
"4GY9LD","4/30/12",544,"PGE",19113
"4GY9LD","5/30/12",460,"PGE",19143
"4GY9LD","6/28/12",509,"PGE",19172
"4GY9LD","7/30/12",501,"PGE",19204
"4GY9LD","8/28/12",421,"PGE",19233
"4GY9LD","9/27/12",430,"PGE",19263
"4GY9LD","10/28/12",354,"PGE",19294
"4GY9LD","11/28/12",467,"PGE",19325
"4GY9LD","12/30/12",484,"PGE",19357
"4GY9LD","1/29/13",476,"PGE",19387
"4GY9LD","2/28/13",469,"PGE",19417
"4GY9LD","3/31/13",444,"PGE",19448
"6033367454","1/19/09",486,"SDGE",17916
"6033367454","2/18/09",419,"SDGE",17946
"6033367454","3/19/09",341,"SDGE",17975
"6033367454","4/20/09",299,"SDGE",18007
"6033367454","5/19/09",259,"SDGE",18036
"6033367454","6/18/09",243,"SDGE",18066
"6033367454","7/20/09",355,"SDGE",18098
"6033367454","8/18/09",336,"SDGE",18127
"6033367454","9/17/09",436,"SDGE",18157
"6033367454","10/16/09",263,"SDGE",18186
"6033367454","11/17/09",327,"SDGE",18218
"6033367454","12/17/09",391,"SDGE",18248
"6033367454","1/19/10",431,"SDGE",18281
"6033367454","2/18/10",395,"SDGE",18311
"6033367454","3/19/10",410,"SDGE",18340
"6033367454","4/19/10",299,"SDGE",18371
"6033367454","5/19/10",283,"SDGE",18401
"6033367454","6/18/10",248,"SDGE",18431
"6033367454","7/20/10",300,"SDGE",18463
"6033367454","8/18/10",306,"SDGE",18492
"6033367454","9/20/10",380,"SDGE",18525
"6033367454","10/19/10",287,"SDGE",18554
"6033367454","11/17/10",262,"SDGE",18583
"6033367454","12/17/10",541,"SDGE",18613
"6033367454","1/19/11",560,"SDGE",18646
"6033367454","2/17/11",438,"SDGE",18675
"6033367454","3/21/11",478,"SDGE",18707
"6033367454","4/19/11",359,"SDGE",18736
"6033367454","5/19/11",288,"SDGE",18766
"6033367454","6/20/11",280,"SDGE",18798
"6033367454","7/20/11",385,"SDGE",18828
"6033367454","8/18/11",366,"SDGE",18857
"6033367454","9/19/11",457,"SDGE",18889
"6033367454","10/18/11",297,"SDGE",18918
"6033367454","11/16/11",369,"SDGE",18947
"6033367454","12/16/11",441,"SDGE",18977
"6033367454","1/18/12",504,"SDGE",19010
"6033367454","2/16/12",431,"SDGE",19039
"6033367454","3/19/12",459,"SDGE",19071
"6033367454","4/18/12",363,"SDGE",19101
"6033367454","5/17/12",308,"SDGE",19130
"6033367454","6/18/12",317,"SDGE",19162
"6033367454","7/18/12",319,"SDGE",19192
"6033367454","8/16/12",534,"SDGE",19221
"6033367454","9/17/12",596,"SDGE",19253
"6033367454","10/16/12",381,"SDGE",19282
"6033367454","11/14/12",329,"SDGE",19311
"6033367454","12/17/12",486,"SDGE",19344
"6033367454","1/17/13",547,"SDGE",19375
"6033367454","2/15/13",392,"SDGE",19404
"6033367454","3/19/13",362,"SDGE",19436
"6383593286","1/27/09",651,"SDGE",17924
"6383593286","2/26/09",556,"SDGE",17954
"6383593286","3/27/09",572,"SDGE",17983
"6383593286","4/28/09",584,"SDGE",18015
"6383593286","5/28/09",534,"SDGE",18045
"6383593286","6/26/09",402,"SDGE",18074
"6383593286","7/28/09",547,"SDGE",18106
"6383593286","8/26/09",444,"SDGE",18135
"6383593286","9/25/09",461,"SDGE",18165
"6383593286","10/26/09",484,"SDGE",18196
"6383593286","11/25/09",480,"SDGE",18226
"6383593286","12/28/09",487,"SDGE",18259
"6383593286","1/27/10",451,"SDGE",18289
"6383593286","2/26/10",508,"SDGE",18319
"6383593286","3/29/10",540,"SDGE",18350
"6383593286","4/28/10",502,"SDGE",18380
"6383593286","5/27/10",461,"SDGE",18409
"6383593286","6/28/10",489,"SDGE",18441
"6383593286","7/28/10",497,"SDGE",18471
"6383593286","8/26/10",486,"SDGE",18500
"6383593286","9/28/10",553,"SDGE",18533
"6383593286","10/27/10",444,"SDGE",18562
"6383593286","11/26/10",493,"SDGE",18592
"6383593286","12/28/10",548,"SDGE",18624
"6383593286","1/27/11",544,"SDGE",18654
"6383593286","2/28/11",594,"SDGE",18686
"6383593286","3/29/11",512,"SDGE",18715
"6383593286","4/27/11",526,"SDGE",18744
"6383593286","5/27/11",549,"SDGE",18774
"6383593286","6/28/11",598,"SDGE",18806
"6383593286","7/28/11",568,"SDGE",18836
"6383593286","8/26/11",531,"SDGE",18865
"6383593286","9/27/11",567,"SDGE",18897
"6383593286","10/26/11",519,"SDGE",18926
"6383593286","11/25/11",518,"SDGE",18956
"6383593286","12/27/11",579,"SDGE",18988
