account_id,station_name,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid
"1070752574","IMPERIAL-BEACH",8056,7533,522.8232,,"IMPERIAL-BEACH",7428,105,0.022,0.656,11,03may2012,05mar2013,227,182,.1112223,65,.461236,168,25,7553,0.014,0.515,39,03feb2009,03apr2012,227,125,.3531503,65,2.214683,109,80,"SDGE","1313",7,91910,"IMPERIAL-BEACH",722909,"4/23/2012","","IMPERIAL-BEACH_722909",722909,1
"1169226403","IMPERIAL-BEACH",4062,4452,-390.0847,,"IMPERIAL-BEACH",4476,-24,0.044,0.125,8,06aug2012,07mar2013,227,214,.1128761,65,-.1043311,198,26,3982,0.022,0.039,42,05feb2009,06jul2012,227,103,.2774379,65,.3534416,88,63,"SDGE","1472",7,91911,"IMPERIAL-BEACH",722909,"7/26/2012","","IMPERIAL-BEACH_722909",722909,1
"1635614640","SAN-DIEGO-GILLESPIE",5509,3709,1799.831,,"SAN-DIEGO-GILLESPIE",4028,-319,0.151,0.119,10,21may2012,20feb2013,738,686,.4160236,65,-.4320568,559,307,5056,0.097,0.192,17,21dec2010,20apr2012,738,645,.3256252,65,.6138452,535,240,"SDGE","1506",7,91941,"SAN-DIEGO-GILLESPIE",722907,"5/14/2012","","SAN-DIEGO-GILLESPIE_722907",722907,1
"2004105553","SAN-DIEGO-MONTGOMER",6299,7000,-701.2524,,"SAN-DIEGO-MONTGOMER",6892,108,0.015,0.452,11,30apr2012,28feb2013,476,125,.0833776,65,.2271245,108,40,6224,0.030,0.018,38,02mar2009,29mar2012,476,217,.1953541,65,.1576626,187,93,"SDGE","1318",7,92111,"SAN-DIEGO-MONTGOMER",722903,"4/24/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1
"4447441601","IMPERIAL-BEACH",5859,2918,2941.569,,"IMPERIAL-BEACH",2794,124,0.042,0.836,11,03may2012,05mar2013,227,132,.0804924,65,.5457506,121,18,5591,0.060,0.028,39,03feb2009,03apr2012,227,406,1.144014,65,1.182003,352,260,"SDGE","1316",7,91910,"IMPERIAL-BEACH",722909,"4/24/2012","","IMPERIAL-BEACH_722909",722909,1
"5608725618","CAMP-PENDLETON",7888,8402,-514.1094,,"CAMP-PENDLETON",7907,495,0.056,0.720,8,03aug2012,06mar2013,340,536,.3707862,65,1.456909,469,126,7692,0.030,0.044,42,04feb2009,05jul2012,340,267,.4249285,65,.5773567,236,144,"SDGE","1449",10,92021,"CAMP-PENDLETON",722926,"7/17/2012","","CAMP-PENDLETON_722926",722926,1
"5708455284","CAMP-PENDLETON",7214,6450,764.5981,,"CAMP-PENDLETON",5324,1126,0.118,0.673,12,06apr2012,08mar2013,340,866,.7302483,65,3.311978,764,248,5508,0.054,0.753,14,08feb2011,08mar2012,340,450,.8300559,65,5.019655,392,282,"SDGE","1194",10,92040,"CAMP-PENDLETON",722926,"3/13/2012","","CAMP-PENDLETON_722926",722926,1
"5921625402","SAN-DIEGO-GILLESPIE",7435,8207,-772.1152,,"SAN-DIEGO-GILLESPIE",7475,732,0.057,0.622,8,14aug2012,15mar2013,738,576,.3157662,65,.992408,471,233,7081,0.032,0.267,42,13feb2009,16jul2012,738,291,.1257598,65,.4799775,240,93,"SDGE","1447",7,92119,"SAN-DIEGO-GILLESPIE",722907,"7/17/2012","","SAN-DIEGO-GILLESPIE_722907",722907,1
"6033367454","CAMP-PENDLETON",4522,5152,-629.3486,,"CAMP-PENDLETON",4943,208,0.074,0.324,9,18jul2012,19mar2013,340,442,.3345616,65,.6125395,383,114,4501,0.034,0.001,41,18feb2009,18jun2012,340,172,.271776,65,.064243,152,92,"SDGE","1448",10,92020,"CAMP-PENDLETON",722926,"7/12/2012","","CAMP-PENDLETON_722926",722926,1
"6232069551","SAN-DIEGO-MONTGOMER",9229,13474,-4245.877,,"SAN-DIEGO-MONTGOMER",13977,-503,0.048,0.373,10,23may2012,22feb2013,476,755,.4838823,65,-1.05599,641,230,9643,0.041,0.115,39,24feb2009,24apr2012,476,433,.3970056,65,-.8709071,376,189,"SDGE","1373",7,92117,"SAN-DIEGO-MONTGOMER",722903,"5/15/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1
