account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"9IC5HT","MARYSVILLE-BEALE-AFB",55,15987,14606,1380.852,"1","MARYSVILLE-BEALE-AFB",11863,2743,0.045,0.533,14,16nov2011,16dec2012,3668,886,.2020651,55,.7478814,657,741,11410,0.026,0.754,30,17feb2009,19jul2011,3668,568,.1345372,55,1.247754,418,493,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1
"SEHDPS1526388264","SANDBERG",55,5418,4511,906.5278,"11b","SANDBERG",3755,756,0.108,0.223,16,10aug2012,12nov2013,2491,719,.1515001,55,.3035842,487,377,4160,0.050,0.370,43,11feb2008,11aug2011,2491,358,.102969,55,.5048111,271,256,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",55,6951,6069,882.0269,"12b","LOS-ANGELES-DOWNTOWN",4564,1504,0.058,0.326,22,29feb2012,26nov2013,2953,676,.1639058,55,.5094476,350,484,3844,0.064,0.349,44,28mar2008,27sep2011,2953,914,.2216658,55,1.052174,443,655,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",55,,,,"13","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526215611","VAN-NUYS",55,,,,"14","VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",55,7876,7733,142.21,"15","LOS-ANGELES-DOWNTOWN",5480,2253,0.058,0.337,27,27sep2011,26nov2013,2953,843,.2141775,55,.7630978,447,632,6357,0.074,0.071,42,28mar2008,28jul2011,2953,1195,.2931443,55,.5142822,585,866,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388512","VAN-NUYS",55,9787,8215,1572.065,"16","VAN-NUYS",6174,2040,0.051,0.464,21,07mar2012,04nov2013,3573,747,.1408731,55,.5710576,417,503,9097,0.085,0.008,46,05mar2008,04nov2011,3573,1539,.3338235,55,.1929891,834,1193,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1
"9264652903","CAMP-PENDLETON",55,3949,3801,148.4729,"17","CAMP-PENDLETON",3706,95,0.072,0.015,15,10jul2012,08sep2013,2085,426,.1020043,55,.0454791,272,213,3834,0.035,0.013,40,09feb2009,09may2012,2085,205,.0773888,55,.0550488,138,161,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1
"5708455284","CAMP-PENDLETON",55,7175,6193,981.2041,"18b","CAMP-PENDLETON",2846,3347,0.107,0.739,16,07jun2012,08sep2013,2085,1050,.2547084,55,1.605305,663,531,4725,0.068,0.593,15,08feb2011,06apr2012,2085,661,.269991,55,1.17499,485,563,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1
"9069281964","SAN-DIEGO-MONTGOMER",55,4535,4131,403.4385,"19b","SAN-DIEGO-MONTGOMER",2946,1185,0.079,0.523,14,06aug2012,05sep2013,2512,557,.1300141,55,.4718933,328,327,3084,0.036,0.566,39,05feb2009,05apr2012,2512,274,.0832008,55,.5776864,164,209,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
