account_id,station,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid,station_name,_merge
"1070752574","IMPERIAL-BEACH",456,417,39.64368,,363,53,0.050,0.521,11,03may2012,05mar2013,782,25,.0218628,60,.0683652,21,17,408,49,0.027,0.332,39,03feb2009,03apr2012,782,16,.0145423,60,.0623852,12,11,"SDGE","1313",7,91910,"IMPERIAL-BEACH",722909,"4/23/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
"1169226403","IMPERIAL-BEACH",574,355,219.8266,,226,129,0.061,0.914,8,06aug2012,07mar2013,782,28,.0206839,60,.1646735,22,16,363,212,0.045,0.656,42,05feb2009,06jul2012,782,34,.0310352,60,.2708648,26,24,"SDGE","1472",7,91911,"IMPERIAL-BEACH",722909,"7/26/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
"1635614640","SAN-DIEGO-GILLESPIE",764,406,357.5782,,237,170,0.063,0.948,10,21may2012,20feb2013,1022,31,.0137965,60,.1661121,26,14,343,421,0.028,0.928,17,21dec2010,20apr2012,1022,29,.0296763,60,.4114553,21,30,"SDGE","1506",7,91941,"SAN-DIEGO-GILLESPIE",722907,"5/14/2012","","SAN-DIEGO-GILLESPIE_722907",722907,1,"SAN-DIEGO-GILLESPIE","matched (3)"
"2004105553","SAN-DIEGO-MONTGOMER",320,349,-28.72235,,148,201,0.036,0.980,11,30apr2012,28feb2013,709,16,.0135983,60,.2835602,13,10,166,154,0.061,0.669,38,02mar2009,29mar2012,709,27,.0255044,60,.2176019,20,18,"SDGE","1318",7,92111,"SAN-DIEGO-MONTGOMER",722903,"4/24/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER","matched (3)"
"4447441601","IMPERIAL-BEACH",295,212,82.7953,,145,67,0.037,0.924,11,03may2012,05mar2013,782,9,.0081815,60,.0855536,8,6,187,108,0.081,0.392,39,03feb2009,03apr2012,782,32,.0282108,60,.1378978,24,22,"SDGE","1316",7,91910,"IMPERIAL-BEACH",722909,"4/24/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
"5608725618","CAMP-PENDLETON",358,308,50.45331,,174,134,0.066,0.908,8,03aug2012,06mar2013,1194,27,.0145423,60,.1121801,20,17,236,122,0.036,0.706,42,04feb2009,05jul2012,1194,18,.0104447,60,.1023478,13,12,"SDGE","1449",10,92021,"CAMP-PENDLETON",722926,"7/17/2012","","CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","matched (3)"
"5708455284","CAMP-PENDLETON",569,535,34.17004,,229,306,0.034,0.971,12,06apr2012,08mar2013,1194,23,.0139799,60,.2565562,18,17,247,322,0.036,0.964,14,08feb2011,08mar2012,1194,30,.0150852,60,.2699993,20,18,"SDGE","1194",10,92040,"CAMP-PENDLETON",722926,"3/13/2012","","CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","matched (3)"
"5921625402","SAN-DIEGO-GILLESPIE",767,413,354.4359,,214,199,0.049,0.986,8,14aug2012,15mar2013,1022,25,.0095833,60,.1944954,20,10,283,485,0.033,0.845,42,13feb2009,16jul2012,1022,24,.0320836,60,.4740797,26,33,"SDGE","1447",7,92119,"SAN-DIEGO-GILLESPIE",722907,"7/17/2012","","SAN-DIEGO-GILLESPIE_722907",722907,1,"SAN-DIEGO-GILLESPIE","matched (3)"
"6033367454","CAMP-PENDLETON",708,471,236.907,,198,273,0.096,0.891,9,18jul2012,19mar2013,1194,58,.0301985,60,.2289194,45,36,361,347,0.027,0.903,41,18feb2009,18jun2012,1194,27,.015279,60,.2905816,19,18,"SDGE","1448",10,92020,"CAMP-PENDLETON",722926,"7/12/2012","","CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","matched (3)"
"6232069551","SAN-DIEGO-MONTGOMER",584,559,25.5719,,271,288,0.047,0.968,10,23may2012,22feb2013,709,31,.0259414,60,.4059362,26,18,293,291,0.082,0.531,39,24feb2009,24apr2012,709,66,.0634571,60,.4106201,48,45,"SDGE","1373",7,92117,"SAN-DIEGO-MONTGOMER",722903,"5/15/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER","matched (3)"
"6383593286","SAN-DIEGO-LINDBERGH",355,285,70.36258,,213,72,0.114,0.634,11,26apr2012,26feb2013,401,39,.0452104,60,.1785266,32,18,217,139,0.042,0.769,38,26feb2009,27mar2012,401,20,.031645,60,.3462575,15,13,"SDGE","1277",7,92110,"SAN-DIEGO-LINDBERGH",722900,"4/16/2012","","SAN-DIEGO-LINDBERGH_722900",722900,1,"SAN-DIEGO-LINDBERGH","matched (3)"
"7450155108","SAN-DIEGO-MONTGOMER",301,284,17.45908,,149,135,0.037,0.969,12,26mar2012,25feb2013,709,13,.0107705,60,.1907877,10,8,147,154,0.041,0.833,37,25feb2009,24feb2012,709,17,.0164138,60,.2170669,12,12,"SDGE","1210",7,92117,"SAN-DIEGO-MONTGOMER",722903,"3/23/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER","matched (3)"
"7820662901","IMPERIAL-BEACH",373,294,78.53427,,211,83,0.042,0.942,7,31aug2012,05mar2013,782,17,.0117461,60,.1059611,12,9,305,67,0.029,0.523,43,03feb2009,02aug2012,782,14,.01287,60,.086277,11,10,"SDGE","1471",7,91910,"IMPERIAL-BEACH",722909,"8/6/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
"8942098159","IMPERIAL-BEACH",343,281,62.32608,,176,105,0.100,0.790,8,01aug2012,03mar2013,782,37,.0281455,60,.1336661,28,22,268,76,0.035,0.536,42,02feb2009,02jul2012,782,16,.0142551,60,.0968237,12,11,"SDGE","1445",7,91910,"IMPERIAL-BEACH",722909,"7/13/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
