iou_id,account_id,site_number,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name,station
"SGHDPS1526258331","SGHDPS1526258331",12,"10/18/12",90035,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","LOS-ANGELES-DOWNTOWN"
"SGHDPS1526331746","SGHDPS1526331746",13,"10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","LOS-ANGELES-DOWNTOWN"
"SEHDPS1526388512","SEHDPS1526388512",16,"2/15/12",91321,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS","VAN-NUYS"
"SGHDPS1526215611","SGHDPS1526215611",14,"9/20/12",91423,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS","VAN-NUYS"
"SEHDPS1526388932","SEHDPS1526388932",15,"9/17/12",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","LOS-ANGELES-DOWNTOWN"
"1448","6033367454",18,"7/12/12",92020,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","CAMP-PENDLETON"
"1277","6383593286",19,"4/16/12",92110,7,"SAN-DIEGO-LINDBERGH_722900",722900,1,"SAN-DIEGO-LINDBERGH","SAN-DIEGO-LINDBERGH"
"1351","9608731398",20,"4/26/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER","SAN-DIEGO-MONTGOMER"
"1386","9264652903",17,"5/21/12",92128,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","CAMP-PENDLETON"
"GRUZBH","GRUZBH",10,"1/19/12",94062,3,"SAN-CARLOS_724938",724938,1,"SAN-CARLOS","SAN-CARLOS"
"4GY9LD","4GY9LD",5,"6/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1,"SAN-JOSE-INTL","SAN-JOSE-INTL"
"NP7PRY","NP7PRY",7,"2/29/12",94510,12,"CONCORD_724936",724936,1,"CONCORD","CONCORD"
"E3RCZ8","E3RCZ8",2,"12/8/11",94526,12,"LIVERMORE_724927",724927,1,"LIVERMORE","LIVERMORE"
"NKP4ZU","NKP4ZU",3,"11/10/11",94556,12,"CONCORD_724936",724936,1,"CONCORD","CONCORD"
"8WZD1Z","8WZD1Z",9,"10/17/11",94597,12,"CONCORD_724936",724936,1,"CONCORD","CONCORD"
"OVYM2X","OVYM2X",4,"10/27/11",94619,3,"OAKLAND_724930",724930,1,"OAKLAND","OAKLAND"
"FBDDJ3","FBDDJ3",6,"2/15/12",94903,2,"NAPA-CO_724955",724955,1,"NAPA-CO","NAPA-CO"
"SGHDPS1525988997","SGHDPS1525988997",11,"4/26/12",94903,2,"NAPA-CO_724955",724955,1,"NAPA-CO","NAPA-CO"
"S812VL","S812VL",8,"3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1,"SAN-JOSE-REID","SAN-JOSE-REID"
"9IC5HT","9IC5HT",1,"10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1,"MARYSVILLE-BEALE-AFB","MARYSVILLE-BEALE-AFB"
