zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
90001,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90002,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90003,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90004,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90005,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90006,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90007,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90007,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90008,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90010,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90011,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90012,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90013,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90014,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90015,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90015,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90016,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90016,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90017,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90018,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90018,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90019,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90020,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90021,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90021,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
